"PAIS","COD_SKU","FAMILY","MODEL_NAME","BRAND","TIER","STATUS"
PA,"1748",SAMSUNG Z FLIP 6 12GB+512GB,SAMSUNG Z FLIP 6 12GB+512GB,SAMSUNG,FLAGSHIP,EOL
PA,"1796",HONOR MAGIC 7 PRO 12GB+512GB,HONOR MAGIC 7 PRO 12GB+512GB,HONOR,FLAGSHIP,ACTIVO
PA,"1805",HONOR X8C 8GB+512GB,HONOR X8C 8GB+512GB,HONOR,MIDHIGH,ACTIVO
PA,"1810",HONOR X8C 8GB+512GB,HONOR X8C 8GB+512GB,HONOR,MIDHIGH,ACTIVO
PA,"1857",SAMSUNG S25 ULTRA 12GB+512GB,SAMSUNG S25 ULTRA 12GB+512GB,SAMSUNG,FLAGSHIP,ACTIVO
PA,"1807",HONOR X8C 8GB+512GB,HONOR X8C 8GB+512GB,HONOR,MIDHIGH,ACTIVO
PA,"1795",HONOR MAGIC 7 LITE 5G 8GB+512GB,HONOR MAGIC 7 LITE 5G 8GB+512GB,HONOR,MIDHIGH,ACTIVO
PA,"1801",HONOR MAGIC 7 PRO 12GB+512GB,HONOR MAGIC 7 PRO 12GB+512GB,HONOR,FLAGSHIP,ACTIVO
PA,"2379",SAMSUNG Z FOLD7 12GB+512GB,SAMSUNG Z FOLD7 12GB+512GB,SAMSUNG,FLAGSHIP,ACTIVE
PA,"2376",SAMSUNG Z FLIP7 12GB+512GB,SAMSUNG Z FLIP7 12GB+512GB,SAMSUNG,FLAGSHIP,ACTIVE
PA,"2377",SAMSUNG Z FLIP7 12GB+512GB,SAMSUNG Z FLIP7 12GB+512GB,SAMSUNG,FLAGSHIP,ACTIVE
PA,"2378",SAMSUNG Z FLIP7 12GB+512GB,SAMSUNG Z FLIP7 12GB+512GB,SAMSUNG,FLAGSHIP,ACTIVE
PA,"197",OPPO RENO 14 F 5G 12GB+256GB,OPPO RENO 14 F 5G 12GB+256GB,OPPO,MIDHIGH,ACTIVE
PA,"2383",OPPO A5X 4GB+128GB,OPPO A5X 4GB+128GB,OPPO,MIDHIGH,ACTIVE
PA,"2397",OPPO A5X 4GB+128GB,OPPO A5X 4GB+128GB,OPPO,MIDHIGH,ACTIVE
PA,"199",OPPO A5X 4GB+128GB,OPPO A5X 4GB+128GB,OPPO,MIDHIGH,ACTIVE
PA,"2396",OPPO A5M 8GB+256GB,OPPO A5M 8GB+256GB,OPPO,MIDHIGH,ACTIVE
PA,"2382",OPPO A5X 4GB+128GB,OPPO A5X 4GB+128GB,OPPO,MIDHIGH,ACTIVE
PA,"198",OPPO RENO 14 F 5G 12GB+256GB,OPPO RENO 14 F 5G 12GB+256GB,OPPO,MIDHIGH,ACTIVE
PA,"2394",HONOR X6C 6GB+256GB,HONOR X6C 6GB+256GB,HONOR,,ACTIVO
PA,"207",HONOR MAGIC 8 LITE 5G 8GB+256GB,HONOR MAGIC 8 LITE 5G 8GB+256GB,HONOR,,ACTIVE
PA,"2398",HONOR MAGIC 8 LITE 5G 8GB+256GB,HONOR MAGIC 8 LITE 5G 8GB+256GB,HONOR,,ACTIVE
PA,"574",HUAWEI NOVA 9SE 6GB+128GB,HUAWEI NOVA 9SE 6GB+128GB,HUAWEI,HIGH,EOL
PA,"534",SAMSUNG A13 4GB+128GB,SAMSUNG A13 4GB+128GB,SAMSUNG,MID,EOL
PA,"555",IPHONE 13 PRO MAX 256GB,IPHONE 13 PRO MAX 256GB,APPLE,FLAGSHIP,EOL
PA,"1732",SAMSUNG GALAXY A51 DUOS LTE,SAMSUNG GALAXY A51 DUOS LTE,SAMSUNG,HIGH,EOL
PA,"2317",LMU 2630 3G,LMU 2630 3G,LMU,OTHERS,EOL
PA,"1782",OPPO A20 4GB+128GB,OPPO A20 4GB+128GB,OPPO,MIDLOW,ACTIVO
PA,"2836",IPHONE 13 256GB,IPHONE 13 256GB,APPLE,FLAGSHIP,EOL
PA,"2296",HUAWEI P10 32GB LTE,HUAWEI P10 32GB LTE,HUAWEI,ULTRA HIGH,EOL
PA,"2795",SAMSUNG GALAXY A32 4+128GB,SAMSUNG GALAXY A32 4+128GB,SAMSUNG,MIDHIGH,EOL
PA,"127",IPHONE 17 256GB,IPHONE 17 256GB,APPLE,FLAGSHIP,ACTIVE
PA,"2010",OPPO A5M 8GB+256GB,OPPO A5M 8GB+256GB,OPPO,MID,ACTIVE
PA,"2370",IPHONE 17 256GB,IPHONE 17 256GB,APPLE,FLAGSHIP,ACTIVE
