"PAIS","COD_SKU","FAMILY","MODEL_NAME","BRAND","TIER","STATUS"
NI,2351,HUAWEI Y5 2017 LTE,KIT HUAWEI Y5 2017 GOLD DS LTE,HUAWEI,MID LOW,OBSOLETE
NI,2353,SAMSUNG GALAXY J5 PRIME LTE,SAMSUNG GALAXY J5 PRIME BLACK DS LTE,SAMSUNG,MID HIGH,OBSOLETE
NI,2354,SAMSUNG GALAXY J5 PRIME LTE,KIT SAMSUNG GALAXY J5 PRIME BLACK DS LTE,SAMSUNG,MID HIGH,OBSOLETE
NI,2355,SAMSUNG GALAXY J5 PRIME LTE,SAMSUNG GALAXY J5 PRIME W/GOLD DS LT,SAMSUNG,MID HIGH,OBSOLETE
NI,2356,SAMSUNG GALAXY J5 PRIME LTE,KIT SAMSUNG GALAXY J5 PRIME W/GOLD DSLTE,SAMSUNG,MID HIGH,OBSOLETE
NI,2358,LG K8 2017,KIT LG K8 2017 BLACK/BLUE DS LTE,LG,MID,OBSOLETE
NI,2359,SAMSUNG GALAXY S8 64GB LTE,SAMSUNG GALAXY S8 BLACK DS 64GB LTE,SAMSUNG,FLAGSHIP,OBSOLETE
NI,2360,SAMSUNG GALAXY S8 PLUS 64GB LTE,SAMSUNG GALAXY S8 PLUS BLACK 64GB DS LTE,SAMSUNG,FLAGSHIP,OBSOLETE
NI,2361,MIFI M023,MTT MIFI M023 LTE,MTT,ENTRY,OBSOLETE
NI,2362,SAMSUNG GALAXY NOTE 8 BLACK DS 64GB LTE,SAMSUNG GALAXY NOTE 8 BLACK DS 64GB LTE,SAMSUNG,FLAGSHIP,OBSOLETE
NI,2363,SAMSUNG GALAXY NOTE 8 BLACK DS 64GB LTE,SAMSUNG GALAXY NOTE 8 GOLD DS 64GB LTE,SAMSUNG,FLAGSHIP,OBSOLETE
NI,2364,ALCATEL 5044 U5 LTE,ALCATEL 5044A U5 GOLD LTE,ALCATEL,LOW,OBSOLETE
NI,2365,SKY 4.0 DS,SKY 4.0 DS ROSE GOLD,SKY,ENTRY,OBSOLETE
NI,2366,SKY 4.0 DS,KIT SKY 4.0 DS ROSE GOLD,SKY,ENTRY,OBSOLETE
NI,2367,SKY 5.5 DS GRAY LTE,SKY 5.5 DS GRAY LTE,SKY,LOW,OBSOLETE
NI,2368,SKY 5.5 DS GRAY LTE,KIT SKY 5.5 DS GRAY LTE,SKY,LOW,OBSOLETE
NI,2369,MIFI M023,MTT MIFI M023 SS LTE,MTT,ENTRY,OBSOLETE
NI,2371,SAMSUNG GALAXY J2 PRIME DS LTE,KIT SAMSUNG GALXY J2 PRIME PINK DS LTE,SAMSUNG,MID LOW,OBSOLETE
NI,2372,HUAWEI Y6 II LTE,HUAWEI Y6 II BLACK DS LTE,HUAWEI,MID,OBSOLETE
NI,2373,ALCATEL A3 XL LTE,ALCATEL A3 XL SILVER LTE,ALCATEL,MID,OBSOLETE
NI,2374,LG K4 2017 LTE,KIT LG K4 2017 BROWN DS LTE,LG,MID LOW,OBSOLETE
NI,2376,MOTOROLA C PLUS LTE,KIT MOTOROLA C PLUS BLACK DS LTE,MOTOROLA,FEATURE PHONE,OBSOLETE
NI,2377,MOTOROLA C PLUS LTE,MOTOROLA C PLUS GOLD DS LTE,MOTOROLA,FEATURE PHONE,OBSOLETE
NI,2378,MOTOROLA C PLUS LTE,KIT MOTOROLA C PLUS GOLD DS LTE,MOTOROLA,FEATURE PHONE,OBSOLETE
NI,2381,MOTOROLA E PLUS LTE,MOTOROLA E PLUS GOLD DS LTE,MOTOROLA,FEATURE PHONE,OBSOLETE
NI,2383,LG K8 2017,LG K8 2017GOLD/BLACK DS LTE,LG,MID,OBSOLETE
NI,2384,LG STYLUS 3 LTE,LG STYLUS 3 DS LTE,LG,MID HIGH,OBSOLETE
NI,2385,BMOBILE AX1045 LTE,BMOBILE AX1045 GOLD DS LTE,BMOBILE,LOW,OBSOLETE
NI,2389,ALCATEL A3 XL LTE,KIT ALCATEL A3 XL SILVER LTE,ALCATEL,MID,OBSOLETE
NI,2393,HUAWEI Y6 II LTE,HUAWEI Y6 II WHITE DS LTE,HUAWEI,MID,OBSOLETE
NI,2394,NEXUS GO1402 BLACK DS LTE,KIT NEXUS GO1402 BLACK DS LTE,NEXUS,LOW,OBSOLETE
NI,2395,FORTICARE,FORTICARE,ACC   ,FEATURE PHONE,OBSOLETE
NI,2398,NEXUS GO1004 DS,NEXUS GO1004 BLACK DS LTE,NEXUS,LOW,OBSOLETE
NI,2399,NEXUS GO1004 DS,KIT NEXUS GO1004 BLACK DS LTE,NEXUS,LOW,OBSOLETE
NI,2402,SAMSUNG GALAXY S8 PLUS 64GB LTE,SAMSUNG GALAXY S8 PLUS SILVER DS 64G LTE,SAMSUNG,FLAGSHIP,OBSOLETE
NI,2403,HUAWEI Y5 LITE 2017,HUAWEI Y5 LITE 2017 GRAY LTE,HUAWEI,LOW,OBSOLETE
NI,2407,SAMSUNG GALAXY A5 2017 LTE,SAMSUNG GALAXY A5 2017 BLACK DS LTE,SAMSUNG,HIGH,OBSOLETE
NI,2409,BMOBILE AX1045 LTE,KIT BMOBILE AX1045 SILVER DS LTE,BMOBILE,LOW,OBSOLETE
NI,2411,IPHONE 8 PLUS 64GB LTE,IPHONE 8 PLUS GOLD 64GB LTE,APPLE,ULTRA HIGH,OBSOLETE
NI,2412,IPHONE 8 PLUS 64GB LTE,IPHONE 8 PLUS SPACE GRAY 64GB LTE,APPLE,ULTRA HIGH,OBSOLETE
NI,2413,IPHONE 8 PLUS 64GB LTE,IPHONE 8 PLUS SILVER 64GB LTE,APPLE,ULTRA HIGH,OBSOLETE
NI,2414,IPHONE 8 64GB LTE,IPHONE 8 GOLD 64GB LTE,APPLE,FLAGSHIP,OBSOLETE
NI,2416,IPHONE 8 64GB LTE,IPHONE 8 SILVER 64GB LTE,APPLE,FLAGSHIP,OBSOLETE
NI,2419,SERVIDOR DELL,SERVIDOR DELL,,FLAGSHIP,OBSOLETE
NI,2420,TRANSCEIVER CISCO GCL-BX-U,TRANSCEIVER CISCO GCL-BX-U,ACC   ,FEATURE PHONE,OBSOLETE
NI,2421,VOGTEC D310GS (S.S.),VOGTEC D310GS (S.S.),VOGTEC,FEATURE PHONE,OBSOLETE
NI,2422,HUAWEI ROUTER B310,HUAWEI ROUTER B310 (S.S.),HUAWEI,LOW,OBSOLETE
NI,2428,KIT TOIP,KIT TOIP,ACC   ,FEATURE PHONE,OBSOLETE
NI,2431,GWO8 3G,GWO8 3G (S.S.),GW,FEATURE PHONE,OBSOLETE
NI,2433,SAMSUNG GALAXY J7 PRO DS LTE,SAMSUNG GALAXY J7 PRO 2017 GOLD DS LTE,SAMSUNG,MID HIGH,OBSOLETE
NI,2435,BMOBILE K355 DS,BMOBILE K355 BLUE DS,BMOBILE,FEATURE PHONE,OBSOLETE
NI,2437,BMOBILE K355 DS,BMOBILE K355 PINK DS,BMOBILE,FEATURE PHONE,OBSOLETE
NI,2438,BMOBILE K355 DS,KIT BMOBILE K355 PINK DS,BMOBILE,FEATURE PHONE,OBSOLETE
NI,2440,BMOBILE K355 DS,KIT BMOBILE K355 WHITE/BLUE DS,BMOBILE,FEATURE PHONE,OBSOLETE
NI,2441,BMOBILE K355 DS,BMOBILE K355 ORANGE DS,BMOBILE,FEATURE PHONE,OBSOLETE
NI,2442,BMOBILE K355 DS,BMOBILE K355 BLACK DS,BMOBILE,FEATURE PHONE,OBSOLETE
NI,2444,BMOBILE AX681,BMOBILE AX681 BLACK DS,BMOBILE,ENTRY,OBSOLETE
NI,2446,BMOBILE AX681,BMOBILE AX681 PINK DS,BMOBILE,ENTRY,OBSOLETE
NI,2450,SAMSUNG GALAXY J5 PRO 2017 DS LTE,SAMSUNG GALAXY J5 PRO 2017 GOLD DS LTE,SAMSUNG,MID HIGH,OBSOLETE
NI,2453,IPHONE X 64GB LTE,IPHONE X SPACE GRAY 64GB LTE,APPLE,FLAGSHIP,OBSOLETE
NI,2454,IPHONE X 64GB LTE,IPHONE X SILVER 64GB LTE,APPLE,FLAGSHIP,OBSOLETE
NI,2455,SAMSUNG GALAXY J5 PRO 2017 DS LTE,KIT SAMSUNG G. J5 PRO 2017 GOLD DS LTE,SAMSUNG,MID HIGH,OBSOLETE
NI,2457,SAMSUNG GALAXY J7 PRO DS LTE,KIT SAMSUNG G. J7 PRO 2017 GOLD DS LTE,SAMSUNG,MID HIGH,OBSOLETE
NI,2458,SAMSUNG GALAXY J7 PRO DS LTE,KIT SAMSUNG G J7 PRO 2017 B/SILVE DS LTE,SAMSUNG,MID HIGH,OBSOLETE
NI,2460,MIFI M023,KIT MTT MIFI M023 LTE,MTT,ENTRY,OBSOLETE
NI,2461,SKY FUEGO 3.5,SKY 3.5 BLACK DS,SKY,ENTRY,OBSOLETE
NI,2462,SKY FUEGO 3.5,SKY 3.5 WHITE DS,SKY,ENTRY,OBSOLETE
NI,2463,SKY 4.5 LTE,SKY 4.5 WHITE SS,SKY,LOW,OBSOLETE
NI,2465,SKY FUEGO 3.5,SKY 3.5 BLACK DS SS,SKY,ENTRY,OBSOLETE
NI,2466,SKY FUEGO 3.5,KIT SKY 3.5 WHITE DS,SKY,ENTRY,OBSOLETE
NI,2468,SAMSUNG GALAXY J2 PRO DS LTE,SAMSUNG GALAXY J2 PRO GOLD DS LTE,SAMSUNG,MID,OBSOLETE
NI,2469,SAMSUNG GALAXY J2 PRO DS LTE,SAMSUNG G. J2 PRO BLUE SILVER DS LTE,SAMSUNG,MID,OBSOLETE
NI,2470,MTT L-402 BLACK LTE,MTT L-402 BLACK LTE SS,MTT,ENTRY,OBSOLETE
NI,2472,SAMSUNG GALAXY J2 PRO DS LTE,KIT SAMSUNG G. J2 PRO 2018 GOLD DS LTE,SAMSUNG,MID,OBSOLETE
NI,2474,SAMSUNG TAB A8 SPEN 16GB LTE,SAMSUNG TAB A8 SPEN 16GB LTE,SAMSUNG,OTHERS,OBSOLETE
NI,2475,NEXUS GO181,NEXUS GO181 BLUE DS,NEXUS,FEATURE PHONE,OBSOLETE
NI,2476,NEXUS GO181,KIT NEXUS GO181 BLUE DS,NEXUS,FEATURE PHONE,OBSOLETE
NI,2477,NEXUS GO181,NEXUS GO181 GRAY DS,NEXUS,FEATURE PHONE,OBSOLETE
NI,2478,NEXUS GO181,KIT NEXUS GO181 GRAY DS,NEXUS,FEATURE PHONE,OBSOLETE
NI,2479,NEXUS GO181,NEXUS GO181 BLACK DS,NEXUS,FEATURE PHONE,OBSOLETE
NI,2480,NEXUS GO181,KIT NEXUS GO181 BLACK DS,NEXUS,FEATURE PHONE,OBSOLETE
NI,2484,ALCATEL ROUTER HH1NH LTE,ALCATEL ROUTER HH1NH LTE,ALCATEL,LOW,OBSOLETE
NI,2485,SAMSUNG GALAXY S9 PLUS 128GB LTE,SAMSUNG GALAXY S9 PLUS GRAY DS LTE,SAMSUNG,FLAGSHIP,OBSOLETE
